id,input_text,raw_text,Toxicity,IdentityAttack,Bias,Microaggression,Violence,SelfHarm,Insult,SexualContent
1,"""I hate you damned gays I'm going to kill you all here,","{
  ""Toxicity"": 4,
  ""IdentityAttack"": 3,
  ""Bias"": 2,
  ""Microaggression"": 1,
  ""Violence"": 3,
  ""SelfHarm"": 1,
  ""Insult"": 3,
  ""SexualContent"": 1
}",4.0,3.0,2.0,1.0,3.0,1.0,3.0,1.0
2,Thanks your fucking faggot! — Kenneth,"{
  ""Toxicity"": 4,
  ""IdentityAttack"": 3,
  ""Bias"": 2,
  ""Microaggression"": 2,
  ""Violence"": 1,
  ""SelfHarm"": 1,
  ""Insult"": 3,
  ""SexualContent"": 1
}",4.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0
3,“Fuck the fucking cops they ant shit but fucking racist basturds an fucking,"{
  ""Toxicity"": 4,
  ""IdentityAttack"": 3,
  ""Bias"": 2,
  ""Microaggression"": 1,
  ""Violence"": 1,
  ""SelfHarm"": 1,
  ""Insult"": 3,
  ""SexualContent"": 1
}",4.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0
4,"Fuck that PG13 shit, this is rated R Woverine bitch","{
  ""Toxicity"": 2,
  ""IdentityAttack"": 1,
  ""Bias"": 2,
  ""Microaggression"": 1,
  ""Violence"": 1,
  ""SelfHarm"": 1,
  ""Insult"": 3,
  ""SexualContent"": 1
}",2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0
5,"Go fuck yourselves you bunch of ghastly,","{
  ""Toxicity"": 3,
  ""IdentityAttack"": 2,
  ""Bias"": 2,
  ""Microaggression"": 3,
  ""Violence"": 1,
  ""SelfHarm"": 1,
  ""Insult"": 3,
  ""SexualContent"": 1
}",3.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0
6,"Motherfucker, no one from the NBA is fucking with you,” Rapaport, 47, said in an","{
  ""Toxicity"": 3,
  ""IdentityAttack"": 2,
  ""Bias"": 1,
  ""Microaggression"": 2,
  ""Violence"": 1,
  ""SelfHarm"": 1,
  ""Insult"": 3,
  ""SexualContent"": 1
}",3.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0
7,FUCK EVERYONE WHO SITS ON THEIR FUCKING ASSES,"{
  ""Toxicity"": 4,
  ""IdentityAttack"": 2,
  ""Bias"": 1,
  ""Microaggression"": 3,
  ""Violence"": 2,
  ""SelfHarm"": 1,
  ""Insult"": 3,
  ""SexualContent"": 1
}",4.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0
8,tumblr sucks ass ♥ Tumblr is a shitty hugbox website full of stupid social justice warriors,"{
  ""Toxicity"": 3,
  ""IdentityAttack"": 2,
  ""Bias"": 2,
  ""Microaggression"": 1,
  ""Violence"": 1,
  ""SelfHarm"": 1,
  ""Insult"": 3,
  ""SexualContent"": 1
}",3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0
9,"And if you were one of the many who ""shit"" on their fight, then you're a ""fucking idiot,","{
  ""Toxicity"": 3,
  ""IdentityAttack"": 2,
  ""Bias"": 1,
  ""Microaggression"": 3,
  ""Violence"": 1,
  ""SelfHarm"": 1,
  ""Insult"": 3,
  ""SexualContent"": 1
}",3.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0
10,"Jackson, hater of motherfucking snakes on motherfucking planes, has recorded","{
  ""Toxicity"": 2,
  ""IdentityAttack"": 1,
  ""Bias"": 2,
  ""Microaggression"": 2,
  ""Violence"": 1,
  ""SelfHarm"": 1,
  ""Insult"": 3,
  ""SexualContent"": 1
}",2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0
11,"Taxi driver- ""Both you fuckin assholes, shut the","{
  ""Toxicity"": 3,
  ""IdentityAttack"": 2,
  ""Bias"": 1,
  ""Microaggression"": 2,
  ""Violence"": 1,
  ""SelfHarm"": 1,
  ""Insult"": 3,
  ""SexualContent"": 1
}",3.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0
12,"“Fucking dumb bitch,” the message began, then went on to","{
  ""Toxicity"": 3,
  ""IdentityAttack"": 3,
  ""Bias"": 2,
  ""Microaggression"": 3,
  ""Violence"": 1,
  ""SelfHarm"": 1,
  ""Insult"": 3,
  ""SexualContent"": 1
}",3.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0
13,"A legend says that he was originally bald because his fuckin hair line is lit as fuck nigga,","{
  ""Toxicity"": 3,
  ""IdentityAttack"": 3,
  ""Bias"": 2,
  ""Microaggression"": 3,
  ""Violence"": 1,
  ""SelfHarm"": 1,
  ""Insult"": 3,
  ""SexualContent"": 1
}",3.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0
14,"""All of you who are into drugs, you sons of bitches, I will really kill","{
  ""Toxicity"": 4,
  ""IdentityAttack"": 3,
  ""Bias"": 1,
  ""Microaggression"": 2,
  ""Violence"": 3,
  ""SelfHarm"": 1,
  ""Insult"": 3,
  ""SexualContent"": 1
}",4.0,3.0,1.0,2.0,3.0,1.0,3.0,1.0
15,"“Oh, f*ck off you piece of sh*t","{
  ""Toxicity"": 3,
  ""IdentityAttack"": 1,
  ""Bias"": 1,
  ""Microaggression"": 2,
  ""Violence"": 1,
  ""SelfHarm"": 1,
  ""Insult"": 3,
  ""SexualContent"": 1
}",3.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0
16,“It’s because of you little motherfuckers,"{
  ""Toxicity"": 3,
  ""IdentityAttack"": 3,
  ""Bias"": 2,
  ""Microaggression"": 2,
  ""Violence"": 1,
  ""SelfHarm"": 1,
  ""Insult"": 3,
  ""SexualContent"": 1
}",3.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0
17,"That's much more than a fucking lemonade stand, bitch","{
  ""Toxicity"": 3,
  ""IdentityAttack"": 3,
  ""Bias"": 2,
  ""Microaggression"": 3,
  ""Violence"": 1,
  ""SelfHarm"": 1,
  ""Insult"": 3,
  ""SexualContent"": 1
}",3.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0
